precinct,election_id,election_name,contest_id,contest_party,concest_title,choice_id,choice_name,choice_party,choice_type,total_votes
2001.0,0,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5308.0,ROSEANNE BARR CINDY SHEEHAN,P-F,C,13.0
2001.0,1,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5309.0,BARACK OBAMA JOSEPH BIDEN,DEM,C,323.0
2001.0,3,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5310.0,JILL STEIN CHERI HONKALA,GRN,C,2.0
2001.0,5,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5311.0,MITT ROMNEY PAUL RYAN,REP,C,157.0
2001.0,6,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5312.0,GARY JOHNSON JAMES P. GRAY,LIB,C,3.0
2001.0,7,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5313.0,THOMAS HOEFLING ROBERT ORNELAS,AI,C,31.0
2001.0,9,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5834.0,STEWART ALEXANDER,,W,0.0
2001.0,12,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5835.0,"ROSS C. ""ROCKY"" ANDERSON",,W,0.0
2001.0,16,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5836.0,STEPHEN DURHAM,,W,0.0
2001.0,17,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5837.0,VIRGIL GOODE,,W,0.0
2001.0,19,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5838.0,JAMES HARRIS,,W,0.0
2001.0,20,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5839.0,RON PAUL,,W,0.0
2001.0,26,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5840.0,"SHEILA ""SAMM"" TITTLE",,W,0.0
2001.0,28,"November 6, 2012 Presidential General Election Statement of Votes",1477.0,,PRESIDENT AND VICE PRESIDENT,5841.0,JERRY WHITE,,W,0.0
2001.0,29,"November 6, 2012 Presidential General Election Statement of Votes",1478.0,,UNITED STATES SENATOR,5314.0,DIANNE FEINSTEIN,,C,336.0
2002.0,1,"November 6, 2012 Presidential General Election Statement of Votes",1478.0,,UNITED STATES SENATOR,5315.0,ELIZABETH EMKEN,,C,179.0
2002.0,3,"November 6, 2012 Presidential General Election Statement of Votes",1482.0,,UNITED STATES REPRESENTATIVE 46th District,5322.0,LORETTA SANCHEZ,,C,336.0
2002.0,5,"November 6, 2012 Presidential General Election Statement of Votes",1482.0,,UNITED STATES REPRESENTATIVE 46th District,5323.0,JERRY HAYDEN,,C,156.0
2002.0,6,"November 6, 2012 Presidential General Election Statement of Votes",1486.0,,STATE SENATOR 29th District,5330.0,GREG DIAMOND,,C,263.0
2002.0,7,"November 6, 2012 Presidential General Election Statement of Votes",1486.0,,STATE SENATOR 29th District,5331.0,"ROBERT ""BOB"" HUFF",,C,155.0
2002.0,9,"November 6, 2012 Presidential General Election Statement of Votes",1491.0,,MEMBER OF THE STATE ASSEMBLY 69th District,5340.0,TOM DALY,,C,301.0
2002.0,12,"November 6, 2012 Presidential General Election Statement of Votes",1491.0,,MEMBER OF THE STATE ASSEMBLY 69th District,5341.0,"JOSE ""JOE"" MORENO",,C,140.0
2002.0,16,"November 6, 2012 Presidential General Election Statement of Votes",1513.0,,"ANAHEIM UNION HIGH SCHOOL DISTRICT Governing Board Member, Full Term",5413.0,GERALD C. ADAMS,,C,95.0
2002.0,17,"November 6, 2012 Presidential General Election Statement of Votes",1513.0,,"ANAHEIM UNION HIGH SCHOOL DISTRICT Governing Board Member, Full Term",5414.0,BRIAN O'NEAL,,C,205.0
2002.0,19,"November 6, 2012 Presidential General Election Statement of Votes",1513.0,,"ANAHEIM UNION HIGH SCHOOL DISTRICT Governing Board Member, Full Term",5415.0,KATHERINE H. SMITH,,C,232.0
2002.0,20,"November 6, 2012 Presidential General Election Statement of Votes",1513.0,,"ANAHEIM UNION HIGH SCHOOL DISTRICT Governing Board Member, Full Term",5416.0,"THOMAS ""HOAGY"" HOLGUIN",,C,143.0
2002.0,26,"November 6, 2012 Presidential General Election Statement of Votes",1514.0,,"ANAHEIM UNION HIGH SCHOOL DISTRICT Governing Board Member, Short Term",5417.0,ANNEMARIE RANDLE-TREJO,,C,243.0
2002.0,28,"November 6, 2012 Presidential General Election Statement of Votes",1514.0,,"ANAHEIM UNION HIGH SCHOOL DISTRICT Governing Board Member, Short Term",5418.0,VERNON F. BECKETT,,C,105.0
2002.0,29,"November 6, 2012 Presidential General Election Statement of Votes",1514.0,,"ANAHEIM UNION HIGH SCHOOL DISTRICT Governing Board Member, Short Term",5419.0,THOMAS PETERS,,C,53.0
2003.0,17,"November 6, 2012 Presidential General Election Statement of Votes",1518.0,,ANAHEIM CITY SCHOOL DISTRICT Governing Board Member,5431.0,JERRY SILVERMAN,,C,124.0
2003.0,19,"November 6, 2012 Presidential General Election Statement of Votes",1518.0,,ANAHEIM CITY SCHOOL DISTRICT Governing Board Member,5432.0,JOHN SANTOIANNI,,C,76.0
2003.0,20,"November 6, 2012 Presidential General Election Statement of Votes",1518.0,,ANAHEIM CITY SCHOOL DISTRICT Governing Board Member,5433.0,JAMES DEREK VANDERBILT,,C,206.0
2003.0,26,"November 6, 2012 Presidential General Election Statement of Votes",1518.0,,ANAHEIM CITY SCHOOL DISTRICT Governing Board Member,5434.0,BOB GARDNER,,C,178.0
2003.0,28,"November 6, 2012 Presidential General Election Statement of Votes",1518.0,,ANAHEIM CITY SCHOOL DISTRICT Governing Board Member,5435.0,AL JABBAR,,C,114.0
2003.0,29,"November 6, 2012 Presidential General Election Statement of Votes",1529.0,,"CITY OF ANAHEIM Member, City Council",5472.0,BRIAN NEIL CHUCHUA,,C,52.0
2007.0,19,"November 6, 2012 Presidential General Election Statement of Votes",1529.0,,"CITY OF ANAHEIM Member, City Council",5473.0,LUCILLE KRING,,C,117.0
2007.0,20,"November 6, 2012 Presidential General Election Statement of Votes",1529.0,,"CITY OF ANAHEIM Member, City Council",5474.0,"RODOLFO ""RUDY"" GAONA",,C,46.0
2007.0,22,"November 6, 2012 Presidential General Election Statement of Votes",1529.0,,"CITY OF ANAHEIM Member, City Council",5475.0,JENNIFER RIVERA,,C,126.0
2007.0,26,"November 6, 2012 Presidential General Election Statement of Votes",1529.0,,"CITY OF ANAHEIM Member, City Council",5476.0,DUANE ROBERTS,,C,39.0
2007.0,27,"November 6, 2012 Presidential General Election Statement of Votes",1529.0,,"CITY OF ANAHEIM Member, City Council",5477.0,LINDA LINDER,,C,71.0
2007.0,28,"November 6, 2012 Presidential General Election Statement of Votes",1529.0,,"CITY OF ANAHEIM Member, City Council",5478.0,STEVEN ALBERT CHAVEZ LODGE,,C,72.0
