precinct,election_id,registered_voters,ballots_total
2001.0,0,594.0,101.0
2001.0,1,589.0,128.0
2001.0,3,568.0,74.0
2001.0,5,556.0,113.0
2001.0,6,550.0,71.0
2001.0,7,810.0,395.0
2001.0,9,778.0,616.0
2001.0,12,721.0,316.0
2001.0,16,684.0,381.0
2001.0,17,650.0,222.0
2001.0,19,661.0,492.0
2001.0,20,2.0,1.0
2001.0,26,626.0,199.0
2001.0,28,617.0,120.0
2001.0,29,794.0,534.0
2002.0,1,388.0,68.0
2002.0,3,385.0,21.0
2002.0,5,389.0,55.0
2002.0,6,380.0,26.0
2002.0,7,373.0,104.0
2002.0,9,358.0,237.0
2002.0,12,319.0,59.0
2002.0,16,295.0,123.0
2002.0,17,284.0,28.0
2002.0,19,294.0,178.0
2002.0,20,0.0,0.0
2002.0,26,212.0,31.0
2002.0,28,203.0,14.0
2002.0,29,214.0,82.0
2003.0,17,747.0,290.0
2003.0,19,795.0,558.0
2003.0,20,2.0,0.0
2003.0,26,685.0,298.0
2003.0,28,685.0,231.0
2003.0,29,910.0,503.0
2007.0,19,1021.0,693.0
2007.0,20,2.0,0.0
2007.0,22,972.0,93.0
2007.0,26,956.0,327.0
2007.0,27,972.0,93.0
2007.0,28,894.0,180.0
2007.0,29,1089.0,560.0
2008.0,1,2822.0,1142.0
2008.0,3,2854.0,487.0
2008.0,5,2828.0,959.0
2008.0,6,2800.0,539.0
2008.0,7,2814.0,1222.0
2008.0,9,2710.0,2062.0
2008.0,12,2495.0,808.0
2008.0,16,2341.0,1295.0
2008.0,17,1258.0,259.0
2008.0,19,1369.0,910.0
2008.0,20,4.0,0.0
2008.0,26,1134.0,307.0
2008.0,28,1108.0,129.0
2008.0,29,1373.0,685.0
2009.0,1,2448.0,1090.0
2009.0,3,2525.0,352.0
2009.0,5,2618.0,893.0
2009.0,6,1740.0,374.0
2009.0,7,1747.0,823.0
2009.0,9,1691.0,1298.0
2009.0,12,1503.0,545.0
2009.0,16,1450.0,772.0
2009.0,17,1350.0,415.0
2009.0,19,409.0,282.0
2009.0,20,0.0,0.0
2009.0,22,385.0,30.0
2009.0,26,389.0,66.0
2009.0,27,385.0,30.0
2009.0,28,373.0,36.0
2009.0,29,523.0,241.0
2011.0,1,2630.0,2458.0
2011.0,3,2631.0,719.0
2011.0,5,2627.0,1585.0
2011.0,6,1319.0,508.0
2011.0,7,1308.0,939.0
2011.0,9,1286.0,1147.0
2011.0,12,1183.0,621.0
2011.0,16,1113.0,829.0
2011.0,17,933.0,384.0
2011.0,19,957.0,818.0
2011.0,20,2.0,1.0
2011.0,21,916.0,161.0
2011.0,26,899.0,406.0
2011.0,28,889.0,215.0
2011.0,29,1028.0,750.0
2012.0,1,869.0,298.0
2012.0,3,877.0,121.0
2012.0,5,882.0,288.0
2012.0,6,888.0,177.0
2012.0,7,895.0,365.0
2012.0,9,867.0,661.0
2012.0,12,793.0,269.0
2012.0,16,767.0,434.0
2012.0,17,702.0,206.0
2012.0,19,742.0,542.0
2012.0,20,0.0,0.0
2012.0,22,715.0,49.0
2012.0,26,1027.0,361.0
2012.0,27,715.0,49.0
2012.0,28,987.0,197.0
2012.0,29,1248.0,676.0
2015.0,1,550.0,258.0
2015.0,3,561.0,96.0
2015.0,5,561.0,205.0
2015.0,6,557.0,136.0
2015.0,7,549.0,292.0
2015.0,9,514.0,413.0
2015.0,12,469.0,186.0
2015.0,16,463.0,265.0
2015.0,17,441.0,147.0
2015.0,19,468.0,396.0
2015.0,20,1.0,1.0
2015.0,26,432.0,162.0
2015.0,28,423.0,90.0
2015.0,29,524.0,380.0
2016.0,1,565.0,480.0
2016.0,3,577.0,114.0
2016.0,5,561.0,320.0
2016.0,6,565.0,205.0
2016.0,7,568.0,390.0
2016.0,9,569.0,521.0
2016.0,12,518.0,250.0
2016.0,16,497.0,375.0
2016.0,17,1523.0,655.0
2016.0,20,4.0,1.0
2016.0,26,1449.0,542.0
2016.0,28,1460.0,283.0
2016.0,29,1012.0,575.0
2017.0,6,1975.0,743.0
2017.0,7,1953.0,1377.0
2017.0,9,1909.0,1744.0
2017.0,12,1786.0,856.0
2017.0,16,1693.0,1256.0
2017.0,17,1613.0,686.0
2017.0,19,1667.0,1387.0
2017.0,20,0.0,0.0
2017.0,21,1594.0,267.0
2017.0,26,1582.0,693.0
2017.0,28,1574.0,353.0
2017.0,29,1151.0,851.0
2020.0,1,2325.0,1094.0
2020.0,3,2335.0,441.0
2020.0,5,2369.0,858.0
2020.0,6,689.0,185.0
2020.0,7,1387.0,699.0
2020.0,9,1357.0,1090.0
2020.0,12,1272.0,501.0
2020.0,17,1148.0,359.0
2020.0,19,1210.0,859.0
2020.0,20,1.0,1.0
2020.0,26,1045.0,345.0
2020.0,28,882.0,196.0
2020.0,29,1091.0,661.0
2023.0,1,1246.0,700.0
2023.0,3,1244.0,218.0
2023.0,5,1223.0,514.0
2023.0,6,1221.0,331.0
2023.0,7,1221.0,672.0
2023.0,9,1201.0,986.0
2023.0,12,1066.0,430.0
2023.0,16,1068.0,657.0
2023.0,17,1021.0,344.0
2023.0,19,1072.0,835.0
2023.0,20,0.0,0.0
2023.0,26,1353.0,498.0
